Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
0,0,10 guests · 3 bedrooms · 6 beds · 2 baths,$253 ,,,https://www.airbnb.com/rooms/866531455284689305?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-13&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
1,1,4 guests · 1 bedroom · 4 beds · 1 bath,$189 ,5.0 ·,48 reviews,https://www.airbnb.com/rooms/701552765468806726?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-25&check_out=2023-06-30&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
2,2,2 guests · 1 bedroom · 1 bed · 1 bath,$85 ,4.94 ·,311 reviews,https://www.airbnb.com/rooms/47803025?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
3,3,2 guests · 1 bedroom · 1 bed · 1 bath,$159 ,5.0 ·,6 reviews,https://www.airbnb.com/rooms/775256497077449413?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
4,4,2 guests · 1 bed · 1 bath,$276 ,4.93 ·,333 reviews,https://www.airbnb.com/rooms/43650708?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
5,5,2 guests · 1 bedroom · 1 bed · 1 bath,$98 ,4.94 ·,36 reviews,https://www.airbnb.com/rooms/712108937578413358?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
6,6,4 guests · 1 bedroom · 2 beds · Half-bath,$154 ,5.0 ·,294 reviews,https://www.airbnb.com/rooms/47844691?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
7,7,4 guests · Studio · 1 bed · 1 bath,$102 ,5.0 ·,9 reviews,https://www.airbnb.com/rooms/822368580025970663?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
8,8,2 guests · 1 bedroom · 1 bed · Half-bath,$125 ,4.98 ·,343 reviews,https://www.airbnb.com/rooms/43456392?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
9,9,3 guests · 1 bedroom · 1 bed · Half-bath,$113 ,4.91 ·,175 reviews,https://www.airbnb.com/rooms/43883923?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=d99f0bf1-7a31-4342-95e7-4c13032bd6c9
