,hotel,review
0,1,"This cute home was absolutely perfect for our wine tasting weekend! The views from the house were spectacular, the rooms were cozy, and the getting in hot tub was a great way to end the day. Jason was super helpful, responsive, and thought of everything to make this experience the best it could be. We can’t wait to come back!"
1,1,"Amazing house with beautiful views, so nice to get away from Charlotte to this peaceful town filled with some of the coolest wineries. The house was decorated perfectly and had everything you need to feel at home. Would definitely stay here again!"
2,1,"This place is awesome and beautiful!!! It had a stunning view and very peaceful. We had a great time here, wished to stay longer. Jason is great host and very responsive. Would like to visit again."
3,1,"This place is AWESOME for a couple, close to wineries in the area, very peaceful and the view from the deck is unreal sunset and the blue ridge mountains. Jason is easy to work with check the place out you won’t be sorry"
4,1,Only wish we booked to stay longer! Very peaceful
5,1,"Absolutely stunning view! The place was clean and so inviting. Jason and Mary went above and beyond to ensure we enjoyed our stay - the cinnamon rolls were a delicious surprise! Close to surrounding wineries and restaurants in Elkin (~10 min drive). The bed was so comfortable! We had so many friends reach out for details on how to stay here, for good reason. We will 100% be back to watch the sunset and gaze at the stars from the hot tub!"
6,1,"Swan Creek A-frame is a MUST!

I booked Jason’s cabin for a surprise anniversary getaway and I am so pleased with my experience! This beautiful cabin has everything you need to escape your busy city life. Rolling hills, gorgeous green pastures full of grazing cows, fresh air, picturesque views and all the comforts of home. Plus a HOT TUB!
The cabin was easy to access, stocked with essentials extremely cozy and the cleanliness was top notch. I’m a neat freak and can easily find something unkept but this cabin had me 100 percent satisfied and comfortable. I would absolutely recommend a trip to Swan Creek and can’t wait to visit again!"
7,1,Thankyou Carrie ! We appreciate the kind review. So glad you enjoyed your stay !
8,1,Jason’s place was beautiful! So clean with all of the amenities you could need. We appreciated the quiet hillside but also loved being close to Elkin for their great bars and restaurants. The quality coffee beans and the fresh cinnamon rolls were such a nice touch! We’ll hopefully be back
9,1,"Such a great stay! We will be back for sure, great communication. The place is so cute and relaxing!"
10,1,"This place was fantastic for girls getaway. Spotless, cozy, serene. Everything was thought of! We loved getting to go to two wineries you can see from the porch, both < 5 minutes away. Truly a fantastic stay!"
11,1,"We truly enjoyed our getaway weekend. Jason was very helpful and attentive. We just loved the location on the hillside, which allowed for some amazing views of the valley and mountain ranges.

This A-frame house is a thing of dreams! It’s wonderfully modern and sleek, but with a variety of cute, personal touches, which make it very cozy. I especially loved the chair swing near the window!

We also enjoyed a great evening around the fire pit, roasting marshmallows and reading together.

We came here to unwind and reset, and that’s just what we were able to do! This will definitely be high on our list of places to visit again."
12,1,We had a great time staying here! Such a peaceful and relaxing spot right next to wineries.
13,1,This was a very peaceful place to get away and relax! The sunset and mountains were absolutely gorgeous from this location. Would definitely recommend!
14,1,"The getaway is unique beautiful clean and quiet the perfect place for a romantic weekend or just to relax and recoperate. Its within driving distance of stone park, the andy Griffith museum and the town of Mayberry . Pirates landing is a great seafood restaurant and theos Italian restaurant we enjoyed as well. Definitely book this unique getaway"
15,1,"This little A frame has been one of our best Airbnb experiences! It was spotless and had everything we needed, including binoculars for the mountain views. We loved using the hot tub and drinking coffee on the porch while looking out over the farm fields. Jason is a great host with wonderful recommendations and always quick to respond to messages. We got to celebrate our 2 year anniversary here and it was the perfect place for it. Would highly recommend!"
16,1,"Jason was so friendly, helpful,
and responsive, and accommodated a slightly early check in. He was so kind to leave us roasting sticks for the fire, even though we ended up being too busy enjoying the view of the mountains from their beautiful hot tub to use the fire pit and cornhole boards! He was so helpful and even added kitchen photos to help us plan what to bring to cook in their lovely kitchen. The view during the day and night was stunning. The interior was cozy (loved all the blankets) and well designed and spaced for four friends. As others have mentioned, Jason and Mary went above and beyond by leaving a note and handmade coffee cake ❤️We could not have been more pleased with the stay and would love to visit again some day."
17,1,"My fiancé and I booked this get away with my sister & her husband, and were very happy with our stay. The host was very responsive. The aframe house is very unique with beautiful views from inside the house. Our favorite part of the house was watching the sunset and looking at the stars from the hot tub. There were also lots of places to hike and beautiful wineries in the area. Highly recommend!!"
18,1,beautiful location. secluded and scenic. host is very responsive and I'd book again.
19,1,Thankyou Anthony. We appreciate the kind review.
20,1,"Such a beautiful, quiet place to stay! It’s the perfect rural getaway. Jason was super accommodating and a great host! I would definitely visit again!"
21,1,Thankyou Lillian. We’re glad your stay was relaxing and would love to have you back!
22,1,I loved my stay here! Views were incredible and they truly thought of everything!
23,1,Thankyou Monica. We are glad to know you had everything you needed for a comfortable stay ! Come see us again 😊
